,year,month,day,price,built_yr,dong_name,apt_name,size,gu_code,size_pyung,price_pyung
91,2021,6,16,293000,2002,잠원동,롯데캐슬갤럭시,151.11,11650,45.37837837837838,6456.81953543776
92,2021,6,17,221000,1996,잠원동,한신타워,84.93,11650,25.504504504504506,8665.135994348286
93,2021,6,17,368000,2018,잠원동,신반포자이,114.94,11650,34.51651651651652,10661.562554376196
94,2021,6,17,294000,1979,잠원동,신반포4,107.39,11650,32.249249249249246,9116.49129341652
95,2021,6,18,235000,1981,잠원동,신반포10,76.32,11650,22.918918918918916,10253.537735849059
96,2021,6,19,290000,2002,잠원동,롯데캐슬갤럭시,133.41,11650,40.06306306306306,7238.587812008095
97,2021,6,20,204000,1981,잠원동,신반포8,52.74,11650,15.837837837837839,12880.546075085324
98,2021,6,23,175000,1996,잠원동,한신타워,59.81,11650,17.96096096096096,9743.353954188264
99,2021,6,23,220000,1992,잠원동,훼미리,84.9,11650,25.495495495495497,8628.975265017667
100,2021,6,25,270000,2019,잠원동,래미안신반포리오센트,84.92,11650,25.5015015015015,10587.61186999529
101,2021,6,26,230000,1993,잠원동,현대,84.87,11650,25.486486486486488,9024.390243902439
102,2021,6,26,294000,2016,잠원동,래미안신반포팰리스,84.49,11650,25.37237237237237,11587.406793703398
103,2021,6,26,324000,2018,잠원동,아크로리버뷰신반포,78.48,11650,23.56756756756757,13747.706422018347
104,2021,6,28,317000,1978,잠원동,신반포2,107.31,11650,32.22522522522522,9837.014257757899
105,2021,6,29,320000,1978,잠원동,신반포2,92.2,11650,27.68768768768769,11557.483731019522
106,2021,6,29,195000,1981,잠원동,신반포8,52.74,11650,15.837837837837839,12312.286689419794
107,2021,6,29,278000,2016,잠원동,래미안신반포팰리스,84.49,11650,25.37237237237237,10956.799621256954
108,2021,6,7,304000,2009,반포동,반포자이,84.982,11650,25.52012012012012,11912.169635922903
109,2021,6,11,270000,1974,반포동,에이아이디차관주택,72.51,11650,21.774774774774777,12399.669011170872
110,2021,6,11,110000,2002,반포동,태평아트,78.6,11650,23.603603603603602,4660.305343511451
111,2021,6,11,293000,2010,반포동,반포리체,84.967,11650,25.515615615615616,11483.164051926042
112,2021,6,11,222000,2001,반포동,상지리츠빌(73-2),159.45,11650,47.88288288288288,4636.3123236124175
113,2021,6,11,510000,2016,반포동,아크로리버파크,129.97,11650,39.03003003003003,13066.861583442334
114,2021,6,11,126900,2002,반포동,타운빌,108.12,11650,32.46846846846847,3908.407325194228
115,2021,6,11,251000,1974,반포동,에이아이디차관주택,72.51,11650,21.774774774774777,11527.099710384773
116,2021,6,11,222000,2001,반포동,상지리츠빌(73-2),159.45,11650,47.88288288288288,4636.3123236124175
117,2021,6,11,222000,2001,반포동,상지리츠빌(73-2),159.45,11650,47.88288288288288,4636.3123236124175
118,2021,6,12,375000,2016,반포동,아크로리버파크,84.95,11650,25.51051051051051,14699.823425544439
119,2021,6,13,260000,1974,반포동,에이아이디차관주택,72.51,11650,21.774774774774777,11940.422010757136
120,2021,6,14,270000,2007,반포동,반포2차ApelBaum,243.97,11650,73.26426426426426,3685.2891748985535
121,2021,6,15,275000,2009,반포동,래미안퍼스티지,59.89,11650,17.984984984984983,15290.532643179164
122,2021,6,15,420000,2016,반포동,아크로리버파크,112.96,11650,33.92192192192192,12381.373937677054
123,2021,6,16,300000,2009,반포동,반포자이,84.982,11650,25.52012012012012,11755.430561766021
124,2021,6,16,260000,1974,반포동,에이아이디차관주택,72.51,11650,21.774774774774777,11940.422010757136
125,2021,6,16,300000,2009,반포동,반포자이,84.943,11650,25.508408408408407,11760.827849263625
126,2021,6,18,452000,1974,반포동,반포주공1단지,106.25,11650,31.906906906906904,14166.211764705884
127,2021,6,19,398000,2016,반포동,아크로리버파크,84.95,11650,25.51051051051051,15601.412595644497
128,2021,6,19,270000,2016,반포동,아크로리버파크,59.97,11650,18.00900900900901,14992.496248124062
129,2021,6,19,458000,2009,반포동,래미안퍼스티지,135.92,11650,40.81681681681681,11220.865214832256
130,2021,6,20,305000,2009,반포동,반포자이,84.982,11650,25.52012012012012,11951.354404462121
131,2021,6,24,291000,1974,반포동,에이아이디차관주택,72.51,11650,21.774774774774777,13364.087712039718
132,2021,6,25,245000,2005,반포동,프레스턴클레식,215.06,11650,64.58258258258259,3793.592485817911
133,2021,6,26,222500,2018,반포동,반포써밋,59.9207,11650,17.994204204204202,12365.092530627982
134,2021,6,26,358500,2016,반포동,아크로리버파크,84.95,11650,25.51051051051051,14053.031194820484
135,2021,6,27,247000,1987,반포동,반포미도,84.96,11650,25.513513513513512,9681.144067796611
136,2021,6,29,352000,2016,반포동,아크로리버파크,84.97,11650,25.516516516516514,13794.986465811464
137,2021,6,30,250000,1987,반포동,반포미도,84.96,11650,25.513513513513512,9798.728813559323
138,2021,6,1,42500,2014,서초동,강남아르젠,27.64,11650,8.3003003003003,5120.296671490593
139,2021,6,2,155000,2005,서초동,서초트라팰리스,81.76,11650,24.552552552552555,6312.989236790606
140,2021,6,3,42000,2014,서초동,강남아르젠,27.64,11650,8.3003003003003,5060.057887120116
141,2021,6,3,235000,1988,서초동,삼풍아파트,79.47,11650,23.864864864864863,9847.112117780294
142,2021,6,7,31700,2014,서초동,강남아르젠,18.53,11650,5.564564564564565,5696.762007555316
143,2021,6,7,85000,2001,서초동,밀라텔쉐르빌,65.32,11650,19.615615615615614,4333.282302510717
144,2021,6,8,35500,2003,서초동,서초이오빌,43.2,11650,12.972972972972974,2736.458333333333
145,2021,6,9,300000,2004,서초동,아크로비스타,172.28,11650,51.73573573573574,5798.699791037845
146,2021,6,9,29600,2003,서초동,서초이오빌,36.66,11650,11.009009009009008,2688.7070376432084
147,2021,6,9,122000,2005,서초동,두산위브(1362),73.08,11650,21.945945945945944,5559.113300492611
148,2021,6,10,126800,2005,서초동,서초동대우디오빌프라임,84.97,11650,25.516516516516514,4969.330351888902
149,2021,6,12,31000,2002,서초동,서초동삼성쉐르빌2,35.22,11650,10.576576576576576,2931.0051107325385
150,2021,6,12,279000,2004,서초동,아크로비스타,151.61,11650,45.52852852852853,6128.02585581426
151,2021,6,12,21000,2013,서초동,서초중흥S-클래스(도시형생활주택),20.68,11650,6.21021021021021,3381.5280464216635
152,2021,6,13,320000,2017,서초동,서초푸르지오써밋,120.86,11650,36.294294294294296,8816.812841303987
153,2021,6,13,315000,1988,서초동,삼풍아파트,130.73,11650,39.25825825825825,8023.789489788114
154,2021,6,14,135500,2003,서초동,마샹스,118.98,11650,35.72972972972973,3792.360060514372
155,2021,6,14,345000,2005,서초동,더미켈란,244.98,11650,73.56756756756756,4689.5664952241
156,2021,6,15,320000,2017,서초동,서초푸르지오써밋,120.86,11650,36.294294294294296,8816.812841303987
