,monoth,deposit,m_rent,built_yr,dong_name,apt_name,size,gu_code,deposit1,deposit_new,size_p,deposit_p
72,202502,55000,0,2004,제기동,한신아파트,84.76,11230,0.0,55000.0,25.684848484848487,2141.3402548371873
73,202502,5000,110,2023,장안동,파히나더그로브,21.12,11230,26938.77551020408,31938.77551020408,6.4,4990.433673469387
74,202502,54200,0,2007,장안동,장안힐스테이트,84.789,11230,0.0,54200.0,25.693636363636365,2109.471747514418
75,202502,51000,0,1994,용두동,신동아,84.63,11230,0.0,51000.0,25.645454545454545,1988.6565047855372
76,202502,9100,20,2013,장안동,장안푸르미에,12.9463,11230,4897.959183673469,13997.959183673469,3.9231212121212127,3568.066961689629
77,202502,2000,80,2021,휘경동,이문휘경지웰에스테이트,14.1448,11230,19591.836734693876,21591.836734693876,4.2863030303030305,5037.40323118671
78,202502,20000,160,2014,전농동,래미안크레시티,59.99,11230,39183.67346938775,59183.67346938775,18.17878787878788,3255.6446482577026
79,202502,34000,30,2001,이문동,대우,84.891,11230,7346.938775510203,41346.93877551021,25.724545454545456,1607.2952133816739
80,202502,9400,45,2021,휘경동,휘경제이스카이시티(청년임대),17.62,11230,11020.408163265305,20420.408163265303,5.33939393939394,3824.48053000996
81,202502,47000,0,2010,답십리동,청계한신휴플러스,59.74,11230,0.0,47000.0,18.103030303030305,2596.25041848008
82,202502,49000,0,2024,신설동,신설동역자이르네,43.851,11230,0.0,49000.0,13.288181818181819,3687.4871724704108
83,202502,60500,0,2003,장안동,장안현대홈타운(336),112.78,11230,0.0,60500.0,34.17575757575758,1770.2606845185314
84,202502,56000,0,2019,답십리동,답십리파크자이,84.62,11230,0.0,56000.0,25.642424242424244,2183.8808792247696
85,202502,55000,0,2000,전농동,전농SK,114.3,11230,0.0,55000.0,34.63636363636364,1587.9265091863515
86,202502,5000,220,2011,용두동,래미안 허브리츠,59.98,11230,53877.55102040816,58877.55102040816,18.175757575757576,3239.345087818388
87,202502,60000,0,2005,휘경동,휘경동일하이빌,110.56,11230,0.0,60000.0,33.50303030303031,1790.8827785817653
88,202502,5078,2,2012,전농동,래미안아름숲(임대),34.2,11230,489.7959183673469,5567.7959183673465,10.363636363636365,537.2434658073755
89,202502,3000,110,1992,답십리동,동답한신,44.35,11230,26938.77551020408,29938.77551020408,13.439393939393941,2227.6879184593786
90,202502,60000,0,2003,장안동,래미안장안,84.774,11230,0.0,60000.0,25.68909090909091,2335.6217708259605
91,202502,33600,0,1999,휘경동,휘경미소지움,59.84,11230,0.0,33600.0,18.133333333333336,1852.9411764705878
